Product Name,PLU,UOM,Step,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Напиток энергетический Red Bull 0.25л,39229,шт,1.0,250 мл,250.0,0.0,0.0,11.0,46.0,6.0
Напиток энергетический Burn Лимонный лед 500мл Drive Me Original 0.449л,3931669,шт,1.0,449 мл,449.0,0.0,0.0,10.6,43.0,5.67
Вода Borjomi минеральная газированная 0.5л,81514,шт,1.0,500 мл,500.0,0.0,0.0,0.0,0.0,10.0
Сок J7 Апельсиновый с мякотью 0.3л,3965623,шт,1.0,300 мл,300.0,0.0,0.0,11.0,50.0,6.0
Драже M&M's с арахисом в ассортименте 45г,3386335,шт,1.0,45 г,45.0,9.3,24.6,60.0,504.0,14.75
Драже M&M's с молочным шоколадом 45г,3386332,шт,1.0,45 г,45.0,5.0,19.0,74.0,493.0,5.33
Драже M&M's с арахисом и молочным шоколадом 80г,4162277,шт,1.0,80 г,80.0,9.3,24.6,60.0,504.0,6.0
Драже Skittles Фруктовый вкус 38г,98225,шт,1.0,38 г,38.0,0.0,4.2,91.7,408.0,4.67
Драже M&M's с молочным шоколадом 80г,4158067,шт,1.0,80 г,80.0,5.0,19.0,74.0,493.0,3.0
Драже M&M’s с арахисом 145г,4157546,шт,1.0,145 г,145.0,9.3,24.6,60.0,504.0,4.67
Драже Skittles с фруктовым вкусом 70г,4125041,шт,1.0,70 г,70.0,0.0,4.2,91.7,408.0,3.33
Драже Skittles кисломикс 38г,3299810,шт,1.0,38 г,38.0,0.0,4.2,90.0,400.0,4.67
"Драже Mentos Клубника, апельсин, лимон жевательные 37.5г",4252258,шт,1.0,37 г,37.0,0.0,1.5,92.0,390.0,6.0
Конфеты Scandic без сахара со вкусом тутти-фрутти 14г,4352893,шт,1.0,14 г,14.0,0.0,0.0,95.0,230.0,6.67
Драже Tic-Tac Клубничный микс 16г,3462866,шт,1.0,16 г,16.0,0.1,0.6,94.8,394.0,4.67
Драже M&M’s с молочным шоколадом 145г,4157547,шт,1.0,145 г,145.0,5.0,19.0,74.0,493.0,3.67
Драже Tic Tac со вкусом цитрусов 16г,4305726,шт,1.0,16 г,16.0,0.1,0.6,94.9,394.0,4.67
Драже Mentos жевательные со вкусом винограда 37.5г,4312702,шт,1.0,38 г,38.0,0.0,1.5,91.0,390.0,5.67
Драже Tic Tac Апельсин 49г,3641187,шт,1.0,49 г,49.0,0.1,0.7,96.7,400.0,5.0
Протеиновый батончик Snaq Fabriq арахис и карамель глазированный 50г,4192951,шт,1.0,50 г,50.0,20.0,32.0,8.0,456.0,5.33
Батончик Snaq Fabriq кокос 40г,4126137,шт,1.0,40 г,40.0,6.9,30.0,7.9,407.0,3.33
Батончик Smartbar Protein 40г,3609088,шт,1.0,40 г,40.0,20.0,11.0,49.0,363.0,6.67
Батончик-мюсли Здоровый перекус черника 55г,3600319,шт,1.0,55 г,55.0,4.21,6.07,79.48,359.0,6.67
Батончик кокосовый Snaq Fabriq Шоколад 40г,4192933,шт,1.0,40 г,40.0,7.9,28.0,8.8,399.0,6.0
Батончик Snaq Fabriq Фундук-карамель 50г,4278289,шт,1.0,50 г,50.0,16.0,34.0,7.0,454.0,5.67
Батончик Bombbar Фисташковая меренга глазированный 40г,4086383,шт,1.0,40 г,40.0,10.0,6.9,6.3,352.0,7.0
Батончик Snaq Fabriq Coco Tropic Манго-маракуйя 40г,4126139,шт,1.0,40 г,40.0,2.7,11.4,3.5,159.0,7.0
Батончик Bombbar Малиновый сорбет 40г,4086382,шт,1.0,40 г,40.0,10.0,6.4,8.4,356.0,6.67
Батончик Bombbar Фундучное пралине 40г,4129082,шт,1.0,40 г,40.0,25.0,17.1,15.9,391.0,7.0
Батончик Chikalab Лесной орех с карамелью глазированный 60г,4266491,шт,1.0,60 г,60.0,30.0,14.2,4.5,336.0,6.67
Жевательный мармелад Mixbar фруктово-ягодный в ассортименте 70г,3978871,шт,1.0,70 г,70.0,5.5,0.2,73.0,320.0,6.0
Карамель Chupa Chups Экзотик-тропик в ассортименте 12г,17885,шт,1.0,12 г,12.0,0.0,0.0,95.0,380.0,5.0
Мармелад Mix Bar жевательный со вкусом колы 70г,3980249,шт,1.0,70 г,70.0,5.5,0.0,72.0,310.0,3.0
Мармелад Fruittella Медвежата жевательный 70г,2108128,шт,1.0,70 г,70.0,6.0,0.1,73.0,320.0,5.67
Карамель Chupa Chups в ассортименте 17г,33015,шт,1.0,17 г,17.0,0.2,1.6,91.0,380.0,3.67
Мармелад Fruittella Крутой микс жевательный 150г,3694097,шт,1.0,150 г,150.0,6.0,0.1,73.0,320.0,4.67
Мармелад Chupa Chups Страйпсы cо вкусом клубники 120г,4208928,шт,1.0,120 г,120.0,2.0,2.0,79.0,350.0,4.0
Леденцы Бон Пари Фруктовый Микс 75г,41334,шт,1.0,75 г,75.0,0.0,0.0,95.0,386.0,2.33
Карамель Chupa Chups Кислорот яблоко-вишня-лимон-апельсин 12г,4124907,шт,1.0,12 г,12.0,0.0,0.0,92.0,380.0,3.67
Карамель Chupa Chups XXL Trio с жевательной резинкой в ассортименте 29г,59117,шт,1.0,29 г,29.0,0.0,0.0,91.0,370.0,4.33
Мармелад Mixbar Веселые мишки жевательный 140г,4082523,шт,1.0,140 г,140.0,8.0,0.0,70.0,310.0,5.0
Мармелад Бон Пари Кислые червячки жевательный 75г,43332,шт,1.0,75 г,75.0,4.5,0.01,79.0,341.0,3.67
Жевательный мармелад Chupa Chups Роллсы с Апельсиново-лимонным вкусом кислые 150г,4121693,шт,1.0,150 г,150.0,0.4,0.5,86.0,360.0,4.0
Карамель Mixbar с начинкой жевательное ассорти 250г,4197751,шт,1.0,250 г,250.0,0.1,0.1,95.0,380.0,5.67
Карамель Mixbar молочная в ассортименте 1 шт. 11.3г,4180260,шт,1.0,11 г,11.0,0.3,0.5,95.0,390.0,4.33
Карамель Рот Фронт Лимончики 250г,2057836,шт,1.0,250 г,250.0,0.0,0.1,93.0,356.0,6.33
Леденец Lenco Трость к Новому году со вкусом клубники 28г,3644757,шт,1.0,28 г,28.0,0.6,2.2,93.7,382.0,3.67
Карамель леденцовая Красная цена Ягодный край 250г,3914233,шт,1.0,250 г,250.0,0.0,0.2,96.5,388.0,4.33
Леденцы Бон Пари Фруктовый Микс 500г,2163162,шт,1.0,500 г,500.0,0.0,0.0,95.0,386.0,4.33
Мармелад Fruit-tella Звери Mix жевательный апельсин-яблоко-лимон-клубника-малина 150г,3485963,шт,1.0,150 г,150.0,6.0,0.1,74.0,320.0,6.67
Мармелад Бон Пари Кислые змейки жевательный фигурный фрукты 120г,3928270,шт,1.0,120 г,120.0,4.5,0.0,79.0,341.0,6.0
Карамель Рот Фронт Клубника со сливками 250г,2059760,шт,1.0,250 г,250.0,0.3,0.5,92.0,380.0,5.25
Мармелад Бон Пари Машины жевательный фрукты 75г,2127571,шт,1.0,75 г,75.0,5.3,0.11,76.0,330.0,4.67
Карамель Lenco Единороги леденцовая ассорти вкусов + пазл 25г,4048831,шт,1.0,25 г,25.0,0.0,0.0,90.3,361.0,6.33
Жевательная резинка Orbit White нежная мята 13.6г,3439786,шт,1.0,14 г,14.0,0.0,0.0,58.0,140.0,4.67
Леденцы Halls Ментол Экстра 24.5г,3498896,шт,1.0,25 г,25.0,0.0,0.0,95.0,383.0,5.33
Леденцы Halls со вкусом меда и лимона 25г,3498891,шт,1.0,25 г,25.0,0.0,0.0,94.0,384.0,7.0
Жевательная резинка Orbit White Bubblemint 13.6г,3426700,шт,1.0,14 г,14.0,0.0,0.0,62.0,150.0,4.67
"Жевательная резинка Mentos Pure Fresh со вкусом вишни 15,5г",4347283,шт,1.0,16 г,16.0,0.4,2.0,74.0,200.0,2.0
Жевательная резинка Dirol Арбузно-дынный коктейль без сахара 13.6г,2083382,шт,1.0,14 г,14.0,0.4,0.3,66.0,170.0,5.0
Жевательная резинка Mentos Pure Fresh Свежая мята 15.5г,3936416,шт,1.0,16 г,16.0,0.7,0.1,73.0,180.0,2.33
Жевательная резинка Dirol White Мята 13.6г,3641933,шт,1.0,14 г,14.0,0.4,0.9,63.0,167.0,5.0
Жевательная резинка Mentos Pure Fresh виноград 15.5г,4032912,шт,1.0,16 г,16.0,0.3,1.5,68.0,180.0,4.33
Жевательная резинка Mentos Нежная мята 15.5г,3936418,шт,1.0,16 г,16.0,0.5,0.2,67.0,170.0,3.0
Жевательная резинка Orbit Сладкая мята подушечки 13.6г,15212,шт,1.0,14 г,14.0,0.0,0.0,65.0,160.0,4.0
Жевательная резинка Канди Клаб Bomba Roll 12г в ассортименте 1шт.,4278378,шт,1.0,12 г,12.0,0.0,1.4,65.0,273.0,2.0
Жевательная резинка Dirol Мята без сахара 13.6г,3257582,шт,1.0,14 г,14.0,0.5,0.7,69.0,181.0,2.0
Жевательная резинка Dirol Клубника-черешня без сахара 13.6г,3445784,шт,1.0,14 г,14.0,0.3,1.2,73.0,194.0,3.33
"Жевательная резинка Mentos Pure Fresh Тутти Фрутти, 15.5г",3936417,шт,1.0,15 г,15.0,0.0,0.1,74.0,180.0,2.0
Жевательная резинка Mentos Pure Fresh Арбуз 15.5г,4042408,шт,1.0,16 г,16.0,0.3,1.0,69.0,180.0,4.33
Жевательная резинка Orbit Освежающая мята 13.6г,72157,шт,1.0,14 г,14.0,0.0,0.0,61.0,150.0,5.67
Жевательная резинка Orbit клубника-банан 13.6г,3341070,шт,1.0,14 г,14.0,0.0,0.0,68.0,170.0,2.67
Жевательная резинка Orbit сочный арбуз 13.6г,24276,шт,1.0,14 г,14.0,0.0,0.0,69.0,170.0,5.0
Жевательная резинка Dirol Арбузная свежесть без сахара 13.6г,2083379,шт,1.0,14 г,14.0,0.4,0.0,68.0,181.0,4.67
Жевательная резинка Eclipse ледяная вишня 13.6г,2111640,шт,1.0,14 г,14.0,0.0,0.0,62.0,150.0,3.33
Жевательная резинка Dirol Fresh со вкусом мяты без сахара 13.6г,4363974,шт,1.0,14 г,14.0,0.4,0.3,71.0,180.0,3.33
Жевательная резинка Dirol Fresh со вкусом клубники без сахара 13.6г,4363972,шт,1.0,14 г,14.0,0.4,1.7,69.0,190.0,2.67
Жевательная резинка Mentos Pure Fresh Тутти Фрутти 54г,3380234,шт,1.0,54 г,54.0,0.1,0.2,66.0,170.0,4.33
Жевательная резинка Love is ассорти 21г,4010683,шт,1.0,21 г,21.0,0.0,0.0,77.0,291.0,3.33
Жевательная резинка Five Fusion Ягодная волна без сахара 31.2г,3449678,шт,1.0,31 г,31.0,0.0,0.0,67.0,170.0,3.67
Жевательная резинка Five Cyclone Сочный арбуз 31.2г,3256525,шт,1.0,31 г,31.0,0.0,0.0,68.0,170.0,3.67
Жевательная резинка Dirol XXL Арбузная Свежесть со вкусом арбуза без сахара 19г,4275943,шт,1.0,19 г,19.0,0.4,1.2,68.0,182.0,5.0
Жевательная резинка Mentos Pure Fresh Свежая мята 100г,2167263,шт,1.0,100 г,100.0,0.3,0.1,67.0,170.0,5.67
Жевательная резинка Well без сахара cо вкусом мяты 12.65г,4268097,шт,1.0,12 г,12.0,0.0,0.0,35.3,141.0,6.33
Жевательная резинка Mentos Pure White Клубника 15.5г,3936419,шт,1.0,16 г,16.0,0.1,0.5,66.0,170.0,2.0
Жевательная резинка Well без сахара со вкусом клубники и банана 12.65г,4268094,шт,1.0,13 г,13.0,0.0,0.0,35.3,141.0,6.67
Напиток кофейный Nescafé 3в1 мягкий растворимый 14.5г,4055790,шт,1.0,15 г,15.0,1.3,13.0,77.0,435.0,2.33
Напиток кофейный Nescafé 3в1 карамель растворимый 14.5г,4055787,шт,1.0,15 г,15.0,1.5,13.0,74.0,434.0,5.33
Напиток кофейный Nescafé 3в1 классик растворимый 14.5г,4055789,шт,1.0,15 г,15.0,1.4,12.0,78.0,434.0,5.67
Напиток кофейный Nescafé латте растворимый 18г,3928181,шт,1.0,18 г,18.0,1.4,12.0,80.0,435.0,5.0
Напиток кофейный Nescafé Classic Cappuccino растворимый 18г,3928180,шт,1.0,18 г,18.0,2.1,12.0,77.0,428.0,3.33
Напиток кофейный MacCoffee the Original растворимый 3в1 10x20г,3072006,шт,1.0,200 г,200.0,2.0,11.0,81.0,430.0,4.67
Напиток кофейный MacCoffee Cappuccino di Torino 3в1 растворимый с темным шоколадом 5х25.5г,4089587,шт,1.0,128 г,128.0,2.9,9.9,83.4,434.0,5.0
Кофейный напиток Carte Noire Cappuccino растворимый 15г,4110055,шт,1.0,15 г,15.0,4.6,10.0,76.0,415.0,2.5
Фруктовые кусочки ФрутоНяня Яблоко Малина с 12 мес. 15г,3667778,шт,1.0,15 г,15.0,0.0,0.0,7.6,309.6,6.33
Пюре Агуша яблоко-ежевика-малина с 5 мес. 90г,3638365,шт,1.0,90 г,90.0,0.0,0.0,15.0,60.0,6.33
Батончик Агуша яблоко-банан 15г,4013449,шт,1.0,15 г,15.0,0.2,0.5,11.5,54.0,7.0
Пюре фруктовое Агуша яблоко-груша-банан-манго с 6 мес. 90г,4113328,шт,1.0,90 г,90.0,0.0,0.0,15.5,62.0,7.67
Кусочки фруктовые ФрутоНяня Яблоко клубника банан с 12 мес. 15г,3667779,шт,1.0,15 г,15.0,0.0,0.0,74.3,311.2,6.0
Конфеты Fruit-tella Ассорти жевательные 41г,3600817,шт,1.0,41 г,41.0,1.0,7.0,83.0,400.0,4.33
Ирис Красный октябрь Золотой ключик 250г,2057820,шт,1.0,250 г,250.0,2.0,7.5,82.0,400.0,4.5
Ирис Meller с шоколадом 38г,27798,шт,1.0,38 г,38.0,3.0,9.0,79.0,410.0,5.0
"Конфеты Mamba Апельсин, Вишня, Малина, Клубника жевательные 79.5г",3623031,шт,1.0,80 г,80.0,0.0,5.4,85.4,389.0,5.0
Конфеты Невский кондитер Crumle toffee со вкусом сливочного ириса 200г,4367576,шт,1.0,200 г,200.0,2.0,17.0,75.0,440.0,4.33
Батон Коломенское Нарезной нарезка 400г,2065120,шт,1.0,400 г,400.0,7.5,2.9,51.4,265.0,204.0
Батон Хлебный Дом Звездный нарезка 350г,3985404,шт,1.0,350 г,350.0,7.8,2.7,52.9,271.0,4.33
Батон Черемушки нарезка 400г,2149542,шт,1.0,400 г,400.0,7.5,3.0,51.4,265.0,6.67
Батон Черемушки Нарезной нарезка 200г,3696989,шт,1.0,200 г,200.0,7.5,2.9,51.4,265.0,3.5
Батон Нижегородский хлеб Подмосковный 380г,3684709,шт,1.0,380 г,380.0,7.5,2.6,50.6,256.0,3.0
Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,4276930,шт,1.0,350 г,350.0,7.0,1.0,49.0,230.0,7.0
Хлеб Черемушки Бородинский нарезка 390г,2149541,шт,1.0,390 г,390.0,6.8,1.3,41.5,207.0,6.67
Хлеб Черемушки Московский 340г,4010437,шт,1.0,340 г,340.0,7.0,1.0,46.0,220.0,6.67
Хлебец Хлебный дом Стройный рецепт без хлебопекарных дрожжей нарезка 350г,4287370,шт,1.0,350 г,350.0,6.5,1.0,56.0,260.0,8.0
Хлеб Коломенское Даниловский зерновой 300г,3696941,шт,1.0,300 г,300.0,9.5,6.0,46.0,280.0,8.0
Хлеб Хлебный Дом Геркулес зерновой нарезка 250г,3424506,шт,1.0,250 г,250.0,10.1,8.2,39.5,284.0,6.0
Хлеб Сибирский пекарь зерновой мультизлаковый со льном нарезка 280г,4103219,шт,1.0,280 г,280.0,6.2,2.3,48.9,228.0,3.33
Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,2061861,шт,1.0,470 г,470.0,8.0,6.0,48.0,278.0,5.0
Хлеб сандвичный Harry's American Sandwich пшеничный с отрубями нарезка 515 г,2061863,шт,1.0,515 г,515.0,9.5,7.0,42.0,270.0,5.33
Хлеб Рижский хлеб Ароматный ржано-пшеничный подовый с изюмом 300г,3994705,шт,1.0,300 г,300.0,8.1,1.0,51.0,245.0,7.0
Хлеб Рижский хлеб ржаной со злаками 300г,4138140,шт,1.0,300 г,300.0,7.5,6.5,40.5,250.0,8.0
Хлеб Рижский хлеб Юбилейный бездрожжевой 205г,3682239,шт,1.0,205 г,205.0,6.5,7.5,52.0,300.0,7.0
Лепешки Mission пшеничные оригинальные 250г,3439566,шт,1.0,250 г,250.0,7.0,7.0,46.0,280.0,7.0
Лаваш тонкий Коломенское армянский 360г,3497959,шт,1.0,360 г,360.0,10.0,3.0,70.0,350.0,7.0
Лепешки Mission Тортильи со вкусом сыра 250г,4331656,шт,1.0,250 г,250.0,7.0,7.0,48.0,290.0,6.0
Лепешки Delicados Tortillas мексиканские 400г,2039589,шт,1.0,400 г,400.0,7.0,7.0,48.0,290.0,6.0
Лаваш Зерница Армянский тонкий 270г,4218727,шт,1.0,270 г,270.0,8.5,1.5,58.0,280.0,8.33
Лаваш Mission деревенский 3шт 270г,4096013,шт,1.0,270 г,270.0,8.0,7.0,47.0,290.0,7.67
Хлеб Нижегородский Хлеб 400г,3442335,шт,1.0,400 г,400.0,8.0,1.0,50.0,240.0,6.33
Лаваш Зерница Кавказский 280г,4218733,шт,1.0,280 г,280.0,8.5,1.0,57.0,270.0,8.0
Лаваш Рижский Хлеб 150г,4315606,шт,1.0,150 г,150.0,9.5,0.9,55.0,260.0,7.5
Булочка Bagerstat для хот-дога 4х60г,4256836,шт,1.0,241 г,241.0,7.0,3.0,50.0,260.0,3.67
Булочка Bagerstat для бургера с кунжутом 3х56г,4256835,шт,1.0,168 г,168.0,7.0,3.5,50.0,260.0,5.33
Круассан 7 Days с кремом Какао 4х65г,3441724,шт,1.0,4 шт,-1.0,7.0,28.0,42.0,452.0,3.0
Кекс Хлебный дом Ягодное Лукошко с вишней 2х70г,95713,шт,1.0,140 г,140.0,4.0,15.0,45.1,327.0,6.33
Мини-маффины Шарлиз с вареной сгущенкой 433г,3688436,шт,1.0,433 г,433.0,5.0,18.0,51.0,390.0,6.0
Ватрушка Хлебозавод №28 с творогом 80г,3017958,шт,1.0,80 мл,80.0,7.0,17.5,48.0,375.0,6.0
Мини-кексы Юбилейное с кусочками молочного шоколада 5х28г,4102088,шт,1.0,100 мл,100.0,53.0,21.0,53.0,425.0,5.0
Рулетики Хлебозавод №28 маковые 3х30г,2078424,шт,1.0,90 г,90.0,8.0,23.0,48.0,430.0,5.33
Кекс Шарлиз Мраморный с какао 225г,4152289,шт,1.0,225 г,225.0,5.5,20.0,50.0,400.0,7.0
Конвертик Мастер Пироговъ Венский с черникой 70г,3455635,шт,1.0,70 г,70.0,5.0,15.0,53.0,370.0,6.0
Плюшка Коломенское 150г,4036451,шт,1.0,150 г,150.0,7.5,9.0,62.0,360.0,3.0
Пирог Шарлиз Фруктовый Пай песочный с вишневым джемом 430г,4274338,шт,1.0,430 г,430.0,4.5,12.0,64.0,380.0,5.33
Кекс Хлебный Дом Ягодное Лукошко с черникой 2х70г,36647,шт,1.0,140 г,140.0,3.5,15.0,46.0,330.0,6.67
Пирог Сдобная Особа Австрийский штрудель вишня-ваниль 400г,3498660,шт,1.0,400 г,400.0,5.0,15.0,55.0,380.0,6.0
Пирожок Дом выпечки Слоеный с вишней 70г,4263367,шт,1.0,70 г,70.0,6.5,12.0,55.0,360.0,3.0
Конвертик Мастер Пироговъ абрикос-персик 70г,3690949,шт,1.0,70 мл,70.0,5.0,16.0,57.0,390.0,6.33
Хачапури Хлебозавод №28 с сыром и ветчиной 60г,4297873,шт,1.0,60 г,60.0,9.0,27.0,46.0,460.0,3.33
Булочки Коломенское с кардамоном 200г,3682240,шт,1.0,200 г,200.0,8.0,7.0,62.0,340.0,5.0
Кекс Хлебный Дом Василеостровский творожный 400г,2024155,шт,1.0,400 г,400.0,7.7,15.7,54.7,386.0,6.0
Слойка Хлебный Дом Сладкая клубника 55г,4311066,шт,1.0,55 г,55.0,5.0,14.0,57.0,370.0,5.33
Слойка Зерница Свердловская любимая 90г,3219581,шт,1.0,90 г,90.0,7.3,13.3,51.1,355.0,6.0
Слойка Мастер Пирогов с беконом и сыром 70г,4191063,шт,1.0,70 г,70.0,8.0,27.0,48.0,470.0,4.67
Сдоба Хлебозавод №28 с маком 80г,3017956,шт,1.0,80 г,80.0,8.0,11.0,53.0,350.0,4.67
Слойка Хлебный Дом Спелое яблоко 55г,4311068,шт,1.0,55 г,55.0,5.0,14.0,57.0,370.0,5.33
Булочка Зерница повышенной калорийности 100г,3219642,шт,1.0,100 г,100.0,7.6,10.0,53.8,336.0,3.0
Сочник Черемушки с вишней 2х60г,3498080,шт,1.0,120 г,120.0,5.2,9.3,74.7,406.0,5.33
Восточные сладости Милочка Пахлава 400г,4298341,шт,1.0,400 г,400.0,9.4,22.4,46.7,411.0,5.33
"Крекер Яшкино Французский хрустящий с кунжутом, 185г",3222305,шт,1.0,185 г,185.0,8.0,23.0,62.0,490.0,5.0
Крендельки Зерница с солью 100г,3636770,шт,1.0,100 г,100.0,10.0,5.0,70.0,360.0,8.0
Соломка Saltletts Мини-палочки соленые 70г,4247221,шт,1.0,70 г,70.0,9.5,6.0,72.0,380.0,4.0
Крекер Tuc со вкусом пиццы 100г,3490862,шт,1.0,100 г,100.0,8.4,22.0,63.0,482.0,4.67
Крекер Красная цена Рыбки 200г,2102998,шт,1.0,200 г,200.0,7.5,8.0,76.0,400.0,3.0
Хлебные палочки Saltletts Классические соленые 150г,55828,шт,1.0,150 г,150.0,11.0,6.0,73.0,400.0,8.0
Крекер Зерница с луком 200г,2102996,шт,1.0,200 г,200.0,8.0,23.0,58.0,480.0,6.0
Крендели Saltletts Классические с солью 150г,55849,шт,1.0,150 г,150.0,11.0,6.0,73.0,95.6,6.33
Крекер Tuc Мини со вкусом сыра соленый 110г,4352219,шт,1.0,110 г,110.0,8.5,23.0,63.0,497.0,5.33
Крекер Зерница с кунжутом и семенами льна 180г,3950922,шт,1.0,180 г,180.0,10.0,22.0,55.0,460.0,8.0
Соломка Жуковский Хлеб сдобная с ванилью 200г,3483753,шт,1.0,200 г,200.0,8.0,11.0,67.0,400.0,3.33
Соломка Жуковский Хлеб сдобная с маком 200г,3483752,шт,1.0,200 г,200.0,9.0,9.0,68.0,390.0,5.33
Хлебцы Хлебцы Молодцы Лайт ржаные вафельные хрустящие 70г,3154405,шт,1.0,70 г,70.0,10.1,4.8,65.3,345.0,8.0
Хлебцы Хлебцы Молодцы Фитнес линия цельнозерновые витамин плюс хрустящие 100г,2059458,шт,1.0,100 г,100.0,10.1,2.3,57.1,290.0,7.67
Хлебцы Dr.Korner Карамельные кукурузно-рисовые без глютена 90г,3617315,шт,1.0,90 г,90.0,7.0,2.0,70.0,320.0,6.33
Хлебцы  Вкус & Польза Ржаные вафельные хрустящие с витаминами и минералами 70г,4269959,шт,1.0,70 г,70.0,11.1,3.5,72.6,367.0,7.0
Хлебцы Dr.Korner гречневые с витаминами 100г,3275648,шт,1.0,100 г,100.0,12.0,3.0,52.0,280.0,8.0
Хлебцы Щедрые ржаные тонкие 170г,3497593,шт,1.0,170 г,170.0,11.0,2.5,64.0,320.0,6.67
Хлебцы Magic Grain мультизлаковые тыквенные семечки-семена льна-кунжут 160г,4101075,шт,1.0,160 г,160.0,13.0,19.0,54.0,439.0,7.67
Хлебцы Croisette ржаные тонкие 200г,4054469,шт,1.0,200 г,200.0,12.0,3.0,61.0,320.0,8.0
Хлебцы Вкусная фантазия Виктория овсяные вафельные 60г,3412323,шт,1.0,60 г,60.0,15.9,6.0,67.6,490.0,5.0
Хлебцы Вкус&польза с клетчаткой и луком хрустящие 70г,4371267,шт,1.0,70 г,70.0,10.0,9.0,63.0,370.0,6.67
Пончики Берлинские с вареной сгущенкой 2х65г,78025520,шт,1.0,130 г,130.0,7.5,22.0,58.0,460.0,5.33
Маффин с шоколадом 2х120г,78007940,шт,1.0,240 г,240.0,5.5,22.0,47.5,410.0,5.67
Донат с клубничной начинкой 70г,78034294,шт,1.0,70 г,70.0,5.5,9.0,48.0,290.0,4.33
Донат с шоколадной начинкой 70г,78034293,шт,1.0,70 г,70.0,5.5,9.0,48.0,300.0,6.0
Тараллини Trattoria Turatti классические 180г,4208806,шт,1.0,180 г,180.0,9.5,20.0,64.0,470.0,7.0
"Баранки Зерница сдобные, 350г",2085872,шт,1.0,350 г,350.0,8.5,8.0,62.0,350.0,7.5
Сушка Зерница Челночок 250г,3262394,шт,1.0,250 г,250.0,9.0,8.0,72.0,400.0,67.25
Сушки Семейка Озби ванильные 200г,10019,шт,1.0,200 г,200.0,9.3,5.4,74.6,384.0,4.0
Тараллини Trattoria Turatti с сыром 180г,4208800,шт,1.0,180 г,180.0,10.0,22.0,63.0,490.0,6.67
Мини-сушки Семейка Озби с маком 150г,3422692,шт,1.0,150 г,150.0,11.2,6.1,75.8,403.0,6.33
Баранки Зерница Сахарные с маком 350г,2085871,шт,1.0,350 г,350.0,9.0,4.5,67.0,340.0,7.67
Баранки Волжский Пекарь Волжские сдобные 350г,3401214,шт,1.0,350 г,350.0,9.0,2.0,70.0,330.0,6.0
Сушки Невская Сушка маковые 275г,29630,шт,1.0,275 г,275.0,11.0,4.5,72.0,370.0,7.0
Мини-сушки Семейка Озби соленые 150г,3422693,шт,1.0,150 г,150.0,10.1,4.7,71.0,366.0,6.67
Баранки Волжский пекарь горчичные 350г,3460325,шт,1.0,350 г,350.0,8.5,6.0,60.0,330.0,6.33
Сухари Красная цена Ванильные 350г,3660729,шт,1.0,350 г,350.0,9.0,9.4,74.2,418.0,4.4
"Сухари Зерница с изюмом, 250г",3413607,шт,1.0,250 г,250.0,9.0,4.0,70.0,350.0,7.0
Сухари Зерница с изюмом 300г,4208590,шт,1.0,300 г,300.0,12.0,10.0,70.0,380.0,5.33
Сухари Пшеницын Luxe с ароматом ванили cахарные 200г,4342330,шт,1.0,200 г,200.0,9.0,5.5,77.5,400.0,5.67
Тарталетки КиТ для икры 30шт.,2160788,шт,1.0,220 г,220.0,7.5,25.0,49.0,480.0,6.0
Тарталетки Кит для салата 15шт.,2160789,шт,1.0,250 г,250.0,7.5,25.0,49.0,480.0,4.33
Мини-тарталетки Meredo для икры 125г,4380162,шт,1.0,125 г,125.0,9.1,30.9,48.3,507.7,5.0
Лимоны,3294954,кг,0.25,Цена за 1 кг,250.0,1.1,0.3,9.0,29.0,8.0
Яблоки Голден,48188,кг,0.5,Цена за 1 кг,500.0,0.4,0.4,9.8,47.0,9.0
Апельсины,60526,кг,0.8,Цена за 1 кг,800.0,0.9,0.2,8.1,43.0,9.0
Яблоки Ред Делишес,4271772,кг,0.7,Цена за 1 кг,700.0,0.27,0.2,11.76,59.0,9.0
Киви,78647,кг,0.3,Цена за 1 кг,300.0,1.0,0.6,10.3,48.0,8.0
Груши Конференция,50911,кг,0.5,Цена за 1 кг,500.0,0.4,0.3,10.3,47.0,8.0
Гранат,79085,кг,0.7,Цена за 1 кг,700.0,1.7,1.2,19.0,83.0,7.33
Яблоки Гренни Смит,5793,кг,0.5,Цена за 1 кг,500.0,0.4,0.4,9.8,47.5,8.67
Грейпфрут красный,1705,кг,0.7,Цена за 1 кг,700.0,0.7,0.2,6.5,35.0,9.0
Хурма Шиш Бурун,4309366,кг,0.5,Цена за 1 кг,500.0,0.8,0.4,33.5,127.0,9.0
Помело розовое,29866,кг,1.8,Цена за 1 кг,1800.0,0.6,0.2,6.7,32.0,7.0
Свити,2629,кг,0.6,Цена за 1 кг,600.0,0.8,0.3,9.3,57.0,8.0
Лимоны Global Village Узбекистан 2шт.,3622614,шт,1.0,2 шт,-1.0,0.9,0.1,3.0,34.0,8.0
Бананы Global Village,809,кг,0.5,Цена за 1 кг,500.0,1.1,0.3,23.0,89.0,8.0
Виноград Шайн Мускат 500г,4367623,шт,1.0,500 г,500.0,0.8,0.2,18.1,69.0,6.67
Яблоко сезонное,807,кг,0.5,Цена за 1 кг,500.0,0.4,0.4,9.8,47.0,9.33
